T_days,T_weeks,n_segments,sigma_squared,sigma,r_squared,z_min,z_max,V_min,V_max
5,1.0,1662,0.0001618437286291872,0.012721781660961927,0.07549086475634081,-0.05923266221918265,0.03801156950532237,1.0582108863238549e-07,0.011979573801316382
10,2.0,831,0.0004776645779466327,0.02185553883908225,0.13480716542051874,-0.054957252163142484,0.042426224420298225,2.4113620576807996e-06,0.0062346874441839995
15,3.0,554,0.00044001593244868525,0.02097655673480958,0.6566720338767545,-0.06353595965071061,0.03094301871039725,2.790434670758158e-06,0.004580560527023731
20,4.0,415,5.5931280864117076e-05,0.007478721873697208,0.9550338607406095,-0.07103498742320867,0.0279390118756395,4.470558103243284e-06,0.0036100453726722274
25,5.0,332,0.00011649590840029052,0.010793327031100768,0.6953925780252663,-0.03792739636632927,0.036436535233903375,4.307983423284027e-06,0.00295019145444578
30,6.0,277,0.00025601498260817115,0.016000468199655008,0.8038521699464344,-0.05774336590156089,0.029246554405767816,7.997004173988564e-06,0.002478772036933273
35,7.0,237,6.571115732105555e-05,0.008106241874077996,0.5800680115045385,-0.04389312562775374,0.029088118415003476,7.318212616614832e-06,0.0020980748112589573
40,8.0,207,0.00021078672850453724,0.014518496082740018,0.5801431779269248,-0.06463031060516176,0.019572042798800003,8.053880383744192e-06,0.002241637964934897
45,9.0,184,0.0001080379464128532,0.010394130382713756,0.7479588159971318,-0.04549728287366361,0.030113402261442695,9.490733553410439e-06,0.0020184924287921036
50,10.0,166,0.00015599629965645505,0.01248984786362328,0.8017760233875698,-0.04655708124764091,0.02171954505864082,1.3347933647240535e-05,0.0018295672289733035
55,11.0,151,0.00018752281267344208,0.013693896913349468,0.5262338945929312,-0.031965008736507795,0.017963922126267413,1.285532253952631e-05,0.0016552531891347163
60,12.0,138,0.0001865381781778929,0.01365789801462483,0.8855136318673987,-0.052331675273907884,0.026901217609518167,1.0976950963639516e-05,0.00196826089410911
65,13.0,127,0.00012567846024102007,0.011210640492006693,-0.03198030630162396,-0.03060158259707014,0.02012920276554819,1.6528467527467243e-05,0.0017344239178500912
70,14.0,118,0.00018568883816180373,0.0136267691754797,0.4318177704071199,-0.04338643567834395,0.023246943196919057,1.6147447761082304e-05,0.0019330018212039052
75,15.0,110,0.00019710712374617563,0.014039484454429787,0.6218966214708543,-0.038773678136217585,0.020772708611239022,1.7024686868292615e-05,0.0018565461199649097
80,16.0,103,0.0001941113831674793,0.013932386126126397,0.5013767381893676,-0.043466952068270344,0.0194022319156588,1.2812652682502554e-05,0.0011278707791350948
85,17.0,97,0.00016548280882405957,0.012864012158889604,0.509895820057559,-0.03144100993665653,0.021195559621649727,1.1985473108137307e-05,0.0011499583141882735
90,18.0,92,0.00012469035640219132,0.01116648361849832,0.5776008185990607,-0.03211190056485513,0.02937395583829907,1.611216896757675e-05,0.001223259625640482
95,19.0,87,0.00010235127108537744,0.010116880501685164,0.7529537511643047,-0.03241831038714891,0.027671054233054247,1.2507607508339127e-05,0.0014982917745864515
100,20.0,83,0.0001587910112991252,0.012601230547019017,0.8344131912073365,-0.04289505504947462,0.021238714812567228,1.7938954145206566e-05,0.0014924351135573704
105,21.0,79,0.0001456976702838732,0.012070528997681634,0.8488558208869555,-0.04257592600614671,0.019583951775408483,1.772611305112274e-05,0.00144845743862846
110,22.0,75,0.0001694047341338333,0.013015557388519068,0.5301396041276282,-0.030220825668143107,0.01750367619485285,1.9277983375285023e-05,0.0013268997283812564
115,23.0,72,8.370237940559797e-05,0.009148900447900718,0.8321890255772377,-0.04379243812769044,0.020341035362604912,1.6945209980585984e-05,0.0009584466698573799
120,24.0,69,9.124147183868111e-05,0.009552040192476218,0.9494029089227326,-0.04943951879889083,0.024642471540482026,2.153082982771436e-05,0.0013240205371443875
125,25.0,66,0.00010650556646648548,0.010320153412933622,0.706236286521856,-0.03912299781097498,0.020843186432573976,1.867377182824422e-05,0.0008192939350941922
130,26.0,63,0.0001267220558984414,0.011257089139668452,0.5174165612195591,-0.028030541079773433,0.022898150591012384,1.7957027918152163e-05,0.0011530524441820066
